shiftId,comId,userId,username,location,lat,lng,role,info,startAt,stopAt,quality,performance,punctuality,rate
Shift-6919e1f9-4946-478b-8634-8eac1ec6a525,ComApp-7cefd79f-b56e-4310-b33b-913159d608a5,f418b408-d0a1-70a9-df3a-61b0a6e1ff9a,Mathieu Duval,"Montreal, QC, Canada",45.5018869,-73.56739189999999,Designer,Boss,2025-07-14T07:00:00.000Z,2025-07-14T18:00:00.000Z,0,0,0,0
Shift-8e22d43c-67ea-4176-9f03-9cbd02d770fb,ComApp-7cefd79f-b56e-4310-b33b-913159d608a5,a47834b8-00d1-7083-c8eb-1dd0fa78cf10,Yvon Ponton,Laval,45.6066487,-73.712409,Developer,Test,2025-07-16T14:55:48.486Z,2025-07-16T16:55:48.000Z,0,0,0,0
Shift-49e16788-ef9d-40ce-9ad6-cddfe9b73e26,ComApp-7cefd79f-b56e-4310-b33b-913159d608a5,54f8f498-1071-7058-e866-fbf7eca66697,Raymond Bourque,Laval,,,Designer,test,2025-07-16T15:15:15.681Z,2025-07-16T17:15:15.000Z,0,0,0,0
Shift-6f2dd3d2-b06f-4b58-91cd-4265f142f54a,ComApp-7cefd79f-b56e-4310-b33b-913159d608a5,54f8f498-1071-7058-e866-fbf7eca66697,Raymond Bourque,"Laval, QC, Canada",45.6066487,-73.712409,Programmeur,Appel mathieu,2025-07-18T06:30:00.000Z,2025-07-18T16:30:00.000Z,0,0,0,0
Shift-ae62561c-9008-4831-9c75-a86084c5e4a7,ComApp-7cefd79f-b56e-4310-b33b-913159d608a5,7468b4c8-f0a1-705b-bf95-d792db595f85,John Gilford,Montreal,45.5018869,-73.5673919,Developer,Mathieu: 438-596-6878,2025-07-20T00:00:00.000Z,2025-07-20T23:00:00.000Z,0,0,0,0
Shift-9d3844ba-8806-4ac5-bbfa-2d9347c86a9a,ComApp-7cefd79f-b56e-4310-b33b-913159d608a5,54f8f498-1071-7058-e866-fbf7eca66697,Raymond Bourque,Montreal,45.5018869,-73.5673919,Designer,Mathieu: 438-596-6878,2025-07-31T10:40:00.000Z,2025-07-31T16:00:00.000Z,0,0,0,0
Shift-0c72f05d-58c8-4509-93a5-3d152a9711ab,ComApp-7cefd79f-b56e-4310-b33b-913159d608a5,7468b4c8-f0a1-705b-bf95-d792db595f85,John Gilford,Montreal,45.5018869,-73.5673919,IT,Mathieu: 438-596-6878,2025-08-01T07:00:00.000Z,2025-08-01T16:00:00.000Z,0,0,0,0
Shift-e3c57132-9c32-4e1b-ac79-498ca2360474,ComApp-7cefd79f-b56e-4310-b33b-913159d608a5,54f8f498-1071-7058-e866-fbf7eca66697,Raymond Bourque,Montreal,45.5018869,-73.5673919,Designer,Mathieu: 438-596-6878,2025-08-01T07:00:00.000Z,2025-08-01T16:00:00.000Z,2,5,2,3
Shift-54b0c3cb-63be-4288-a542-f006375ecb5c,ComApp-7cefd79f-b56e-4310-b33b-913159d608a5,54f8f498-1071-7058-e866-fbf7eca66697,Raymond Bourque,Montreal,45.5018869,-73.5673919,Designer,Mathieu: 438-596-6878,2025-08-01T07:00:00.000Z,2025-08-01T16:00:00.000Z,0,0,0,0
Shift-bb8ec024-9aa2-43e3-ac27-e5c4ba5958b5,ComApp-7cefd79f-b56e-4310-b33b-913159d608a5,f418b408-d0a1-70a9-df3a-61b0a6e1ff9a,Mathieu Duval,Laval,,,test,test,2025-08-04T01:16:57.000Z,2025-08-04T20:16:57.000Z,0,0,0,0
